the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
0101000020E6100000C9772975C97E52C09B3924B5505E4440,,133997,,NYSDOH: 6908,"Gramercy Surgery Center, Inc",380,2 Avenue,380 2 Avenue,New York,Manhattan,1,10010,40.736838,-73.981046,989502.7305,207726.9427,1020567,1009270055,106,2,6400,MN21,0101000020110F000080E79E17836A5FC1582E969E08F95241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"Gramercy Surgery Center, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000EB56CF49EF7F52C006BD3786005C4440,,105982,,NYSDOH: 6164,"Chinatown Dialysis Center, LLC",213,Hester Street,213 Hester Street,New York,Manhattan,1,10013,40.718766,-73.99898,984532.7982,201142.2513,1003059,1002350001,102,1,4100,MN24,0101000020110F0000E0E87531766C5FC12C13E5F270F65241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"Chinatown Dialysis Center, LLC",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000006286C613417452C061DF4E22C2594440,,90154,,NYSDOH: 9380,Jamaica Hospital Sleep Center,89-10,Van Wyck Expressway,89-10 Van Wyck Expressway,Richmond Hill,Queens,4,11418,40.701237,-73.816472,1035137.9137,194809.4719,4590996,4093640010,409,29,14202,QN54,0101000020110F00009F02D0049F585FC15DD32664EDF35241,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000007B30293E3E7452C0CF8250DEC7594440,,90155,,NYSDOH: 1629,Jamaica Hospital Medical Center,,,89th Avenue & Van Wyck Expressway,Richmond Hill,Queens,4,11418,40.701412,-73.816299,1035185.6492,194873.1814,,,409,29,14202,QN54,0101000020110F0000B97B48349A585FC1E61AB8D0F3F35241,Health Care,Hospitals and Clinics,Hospital,,,,,,,,Non-public,Jamaica Hospital Inc,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000FD4FFEEE1D7652C03FC7478B336C4440,,24635,,NYSDOH: 1196,Comprehensive Fam Care Center,1621,Eastchester Road,1621 Eastchester Road,Bronx,Bronx,2,10461,40.845323,-73.845577,1026975.1634,247289.1295,2044215,2040830005,211,13,20000,BX37,0101000020110F0000F3BBDA01C95B5FC12FA3B8629C085341,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"Montefiore Health System, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E6100000AB7823F3C88052C0024BAE62F1514440,,18462,,NYSDOH: 3085,Primary Care Annex,5616,6 Avenue,5616 6 Avenue,Brooklyn,Brooklyn,3,11220,40.640179,-74.012265,980845.9963,172511.1682,3015404,3008400043,307,38,10200,BK34,0101000020110F00006893BEE9E76D5FC1FBAC52092DEB5241,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,NYU Langone Hospitals,Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E61000000ED940BAD87952C0FDA4DAA7E3694440,,8451,,NYSDOH: 9570,Morris High School,1110,Boston Road,1110 Boston Road,Bronx,Bronx,2,10456,40.82726,-73.903853,1010858.7206,240684.8898,2004526,2026340001,203,16,13500,BX35,0101000020110F000075D826D21E625FC1B4340AF603065341,Health Care,Hospitals and Clinics,School Based Hospital Extension Clinic,,,,,,,City Owned,Non-public,"Montefiore Health System, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,NYCDOE,"NYCDCAS;NYSDOH","NYCDCAS: City Owned and Leased Properties;NYSDOH: Health Facility General Information","NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r","NYCDCAS: 2017-06-01;NYSDOH: 2018-03-22","dcas_facilities_colp;nysdoh_facilities_healthfacilities",Health and Human Services
0101000020E610000048FDF50A0B7552C0A1F31ABB445B4440,,124938,,NYSDOH: 7698,Kew Gardens Dialysis Center,120-46,Queens Boulevard,120-46 Queens Boulevard,Kew Gardens,Queens,4,11415,40.713035,-73.828799,1031711.436,199100.6191,4080152,4033580018,409,29,21600,QN60,0101000020110F0000A132E013F6595FC1D069DE859EF55241,Health Care,Hospitals and Clinics,Diagnostic and Treatment Center,,,,,,,,Non-public,"Kew Gardens Dialysis Center, LLC",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
0101000020E610000023128596757E52C0177E703E755E4440,,122474,,,Belvue Hosp/Ocme/Ems Station 8,430,1 Avenue,430 1 Avenue,New York,Manhattan,1,10016,40.737953,-73.975927,990921.0802,208133.6382,1069579,1009620100,106,4,6200,MN20,0101000020110F0000770D93A1F4695FC16BAB829231F95241,Health Care,Hospitals and Clinics,Hospital,,,,,,,City Owned,Public,NYC Health and Hospitals Corporation,NYCHHC,NYCHHC: City,NYC Health and Hospitals Corporation,NYCHHC,NYCHHC,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,Health and Human Services
0101000020E6100000BC04A73E907652C03E40F7E5CC6A4440,,164240,,NYSDOH: 7049,Castle Hill Family Practice,2167,Westchester Avenue,2167 Westchester Avenue,Bronx,Bronx,2,10462,40.834378,-73.852554,1025051.4334,243297.895,2029019,2039350008,209,18,22200,BX46,0101000020110F000077BF1F2D8B5C5FC1E2BB1DC409075341,Health Care,Hospitals and Clinics,Hospital Extension Clinic,,,,,,,,Non-public,"Montefiore Health System, Inc",Non-public,NYSDOH: State,NYS Department of Health,NYSDOH,,NYSDOH,NYSDOH: Health Facility General Information,NYSDOH: https://health.data.ny.gov/Health/Health-Facility-General-Information/vn5v-hh5r,NYSDOH: 2018-03-22,nysdoh_facilities_healthfacilities,Health and Human Services
