the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
0101000020E61000002DB1321AF97852C06FF607CA6D554440,,124325,,,Dr. Martin Luther King Jr Park,757,Dumont Avenue,757 Dumont Avenue,Brooklyn,Brooklyn,3,11207,40.667413,-73.890204,1014709.1879,182451.9373,3393365,3037930001,305,42,115800,BK85,0101000020110F000000AC91F8A2605FC10EC3380F14EF5241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000B3075A81217E52C0DE74CB0EF15F4440,,81147,,,Mary O'Connor Playground,327,East   42 Street,327 East   42 Street,New York,Manhattan,1,10017,40.749544,-73.970795,992342,212357,,1013350012,106,4,8800,MN19,0101000020110F0000360AE9CE65695FC1EFFAB656DBFA5241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000CFF41263997D52C00CEA5BE6745D4440,,32218,,,Transmitter Park,1,Kent Street,1 Kent Street,Brooklyn,Brooklyn,3,11222,40.73013,-73.962487,994647,205285,,3025430075,,4,6000,,0101000020110F00002D5000997E685FC1A33C814112F85241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E61000008FFAEB15167952C0F23FF9BB77704440,,105047,,NYCDPR: X137,Jerome Park,,,Goulden Avenue,Bronx,Bronx,2,10468,40.878654,-73.891973,1014123.6584,259413.7526,,2032460001,208,11,40900,BX28,0101000020110F0000926CB733D4605FC1E9AB56E6660D5341,Parks and Plazas,Parks,Neighborhood Park,,,,,NYCDPR: 4.244,NYCDPR: Acres,,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E6100000749A05DA1D8052C0C39ACAA2B05B4440,,102844,,,Collect Pond Pk/Leonold St Fld,93,Centre Street,93 Centre Street,New York,Manhattan,1,10013,40.716328,-74.001822,983745,200254,1001832,1001690001,101,1,3100,MN24,0101000020110F00004EDF2349C56C5FC12A52236E17F65241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E6100000E22021CA177552C03CF6B3588A6E4440,,55552,,,Park,,,Baychester Avenue,Bronx,Bronx,2,10475,40.863597,-73.829577,1031389,253955,,2048160032,210,12,46201,BX13,0101000020110F0000C223B2BA0B5A5FC133C07EC13C0B5341,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E610000022533E04557B52C0FF9600FC536C4440,,40553,,NYCDPR: X094,Bridge Park,,,,Bronx,Bronx,2,10452,40.846313,-73.927064,1004429.2756,247620.3164,,,204,16,20501,BX36,0101000020110F0000FB59B3C7A4645FC10EAC87CEC0085341,Parks and Plazas,Parks,Neighborhood Park,,,,,NYCDPR: 7.157,NYCDPR: Acres,,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,,NYCDPR,NYCDPR: Parks Properties,NYCDPR: https://data.cityofnewyork.us/City-Government/Parks-Properties/rjaj-zgq7/data,NYCDPR: 2017-12-21,dpr_parksproperties,"Parks, Gardens, and Historical Sites"
0101000020E61000007C9E3F6D547952C0056EDDCD535D4440,,78776,,,Triangular Landscaped Property,,,Jay Avenue,Maspeth,Queens,4,11378,40.72912,-73.895778,1013136,204932,,4023980044,405,30,51300,QN30,0101000020110F000073283D183E615FC1AE26F729EDF75241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E61000000821205F427B52C0111C977153594440,"164126;89246",161401,,,Community Park,1278,Myrtle Avenue,1278 Myrtle Avenue,Brooklyn,Brooklyn,3,11221,40.697859,-73.925926,1004790,193534,,"3032320040;3032320042;3032320047",304,34,42300,BK78,0101000020110F00001256141C85645FC12094256471F35241,Parks and Plazas,Parks,Community Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
0101000020E610000056F2B1BB408A52C0BC581822A7434440,,54960,,,Landscaped Area To Be New Park,2,Blueberry Lane,2 Blueberry Lane,Staten Is,Staten Is,,10312,40.528538,-74.160201,939715,131878,,,503,51,15603,SI54,0101000020110F0000EF20FFF3FC7D5FC1C51C53F831DB5241,Parks and Plazas,Parks,Park,,,,,,,City Owned,Public,NYC Department of Parks and Recreation,NYCDPR,NYCDPR: City,NYC Department of Parks and Recreation,NYCDPR,NYCDPR,NYCDCAS,NYCDCAS: City Owned and Leased Properties,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,NYCDCAS: 2017-06-01,dcas_facilities_colp,"Parks, Gardens, and Historical Sites"
